topic,stems,docs,label,notes
1,"counti, state, street, feder, commun, meet, offic, public, assist, citi","159portman, 59booker, 392heinrich, 159stabenow, 273wicker, 272booker, 227gardner, 310cardin, 361wyden, 248coats",localistic,"incl. funding for local projects, meet and greets, town halls"
2,"student, colleg, educ, school, program, depart, univ, feder, state, year","285baldwin, 189gardner, 2tomudall, 599king, 365murphy, 394murphy, 545cardin, 70warren, 93schatz, 145paul",education - funding,incl. higher ed and retraining
3,"safeti, chemic, state, transport, year, act, feder, work, protect, nation","480tomudall, 15donnelly, 243stabenow, 82portman, 7scott, 15cornyn, 267vitter, 349tomudall, 239cantwell, 135murkowski",chemical safety bill,The Frank R. Lautenberg Chemical Safety for the 21st Century Act
4,"gun, violenc, firearm, law, check, background, terrorist, prevent, purcha, american","190wyden, 997schumer, 41heinrich, 3heller, 429mikulski, 858portman, 610reid, 1169brown, 354collins, 281klobuchar",guns,"incl. gun violence, trafficking, and background checks"
5,"epa, state, environ, mine, agenc, protect, water, standard, work, regul","63menendez, 707brown, 886grassley, 445heitkamp, 438menendez, 165cantwell, 410blumenthal, 198merkley, 304warner, 417brown",EPA,
6,"budget, year, spend, debt, congress, govern, work, feder, nation, presid","244capito, 90ronjohnson, 9schatz, 762king, 129toomey, 181gardner, 278klobuchar, 196hoeven, 712murphy, 316hoeven",budget,incl. spending bill and program funding
7,"state, unit, refug, nation, year, secur, govern, countri, support, work","105cassidy, 192ayotte, 175donnelly, 647reid, 40menendez, 609leahy, 582leahy, 83ernst, 102blunt, 3cotton",nat'l issues - general,"incl. PPACA, int'l relations, opioids, symbolic"
8,"iran, nuclear, agreement, deal, sanction, state, presid, congress, administr, weapon","29rounds, 444durbin, 519durbin, 354hoeven, 132bennet, 316grassley, 434peters, 62crapo, 13ayotte, 29lgraham",Iran deal,incl. N. Korea
9,"immigr, law, state, enforc, illeg, presid, feder, crimin, secur, action","521menendez, 466heitkamp, 291shaheen, 420heinrich, 251shaheen, 329kirk, 20billnelson, 24toomey, 41roberts, 306gardner",immigration,"incl. sanctuary cities, refugees in US and EU"
10,"internet, servic, religi, freedom, govern, postal, state, right, mail, commun","466manchin, 211sanders, 687collins, 74crapo, 7hirono, 226blumenthal, 115coons, 833durbin, 120markey, 46corker",FCC,incl. net neutrality
11,"airport, fund, feder, faa, aviat, improv, runway, transport, thi, region","28risch, 348kaine, 496tester, 430hatch, 575tester, 89murkowski, 158kaine, 99feinstein, 356carper, 63warner",airport funding/safety,
12,"hous, fund, program, lead, famili, help, hud, develop, commun, home","249murphy, 276boozman, 247reid, 615heinrich, 930portman, 236gardner, 222king, 173heinrich, 415perdue, 150murkowski",HUD/HHS,"incl. funding, regulation"
13,"health, care, servic, provid, act, access, state, plan, insur, famili","58leahy, 341gardner, 567gillibrand, 27king, 336cornyn, 14cotton, 177lankford, 172tomudall, 50durbin, 7tester",health care,"incl. PPACA, medicaid/are, planned parenthood, awareness, rural care"
14,"veteran, care, servic, health, program, provid, affair, act, depart, legisl","137perdue, 332coats, 425perdue, 381isakson, 799blumenthal, 172tillis, 507kirk, 198tillis, 78portman, 102coats",VA,"incl. health care, services, and benefits"
15,"oil, crude, safeti, pipelin, rail, train, transport, car, state, commun","326vitter, 7cassidy, 147murray, 607mccaskill, 162cochran, 335blumenthal, 709king, 727hoeven, 340boozman, 575gillibrand",oil and gas,"incl. Deepwater Horizon anniversary, oil train derailments, fracking "
16,"bank, export, busi, import, financ, support, job, small, commun, american","85markey, 66coats, 325casey, 12warner, 386cardin, 714cardin, 338stabenow, 137brown, 26mcconnell, 630daines",banking/finance,incl. regulation and import-export bank
17,"terrorist, attack, state, detain, guantanamo, american, terror, presid, unit, administr","405cardin, 387ayotte, 233durbin, 265ayotte, 440ayotte, 746leahy, 112wicker, 72coons, 512shaheen, 74fischer",terrorism,incl. rememberance-military and Guantanamo
18,"nation, american, honor, year, famili, state, servic, women, day, work","555menendez, 115heller, 202ernst, 236sanders, 37enzi, 288corker, 47heitkamp, 412mikulski, 42leahy, 538capito",symbolic,"incl. rememberance, holidays, accepting leadership positions, commemorating buildings/parks"
19,"research, nation, univ, fund, develop, support, state, technolog, help, innov","117daines, 200wicker, 874heitkamp, 628mccaskill, 713hoeven, 265blunt, 190corker, 60tomudall, 662cardin, 280king",research,"incl. funding, disease, cancer, defense"
20,"sexual, violenc, assault, victim, domest, survivor, crime, act, women, report","493schumer, 24kaine, 382shaheen, 571heitkamp, 123kaine, 376perdue, 592brown, 350donnelly, 603collins, 146donnelly",sexual/domestic violence,incl. universities and military
